,algo,env_id,seed,episode_index,episodic_return,episode_length,max_episode_steps,duration_rate,weights
327,sac,Pusher-v5,4,27,-35.21121839201796,100,100,1.0,ga2
328,sac,Pusher-v5,4,28,-34.05931911506712,100,100,1.0,ga2
329,sac,Pusher-v5,4,29,-33.63968931878292,100,100,1.0,ga2
330,sac,Pusher-v5,4,30,-38.54245356334576,100,100,1.0,ga2
331,sac,Pusher-v5,4,31,-31.15251888348216,100,100,1.0,ga2
332,sac,Pusher-v5,4,32,-35.13927503778064,100,100,1.0,ga2
333,sac,Pusher-v5,4,33,-35.924093282691835,100,100,1.0,ga2
334,sac,Pusher-v5,4,34,-32.4439423311358,100,100,1.0,ga2
335,sac,Pusher-v5,4,35,-38.59819799658451,100,100,1.0,ga2
336,sac,Pusher-v5,4,36,-35.78704410394926,100,100,1.0,ga2
337,sac,Pusher-v5,4,37,-33.01821733971029,100,100,1.0,ga2
338,sac,Pusher-v5,4,38,-38.62795182993679,100,100,1.0,ga2
339,sac,Pusher-v5,4,39,-36.93887060917425,100,100,1.0,ga2
340,sac,Pusher-v5,4,40,-39.93018908179875,100,100,1.0,ga2
341,sac,Pusher-v5,4,41,-32.24032965265805,100,100,1.0,ga2
342,sac,Pusher-v5,4,42,-34.11312841377581,100,100,1.0,ga2
343,sac,Pusher-v5,4,43,-37.060964968761695,100,100,1.0,ga2
344,sac,Pusher-v5,4,44,-29.89596885825573,100,100,1.0,ga2
345,sac,Pusher-v5,4,45,-30.2371658781274,100,100,1.0,ga2
346,sac,Pusher-v5,4,46,-32.936890477882216,100,100,1.0,ga2
347,sac,Pusher-v5,4,47,-37.65232845729009,100,100,1.0,ga2
348,sac,Pusher-v5,4,48,-39.697034333228814,100,100,1.0,ga2
349,sac,Pusher-v5,4,49,-37.658569941490136,100,100,1.0,ga2
350,sac,Pusher-v5,4,50,-32.679826045951216,100,100,1.0,ga2
351,sac,Pusher-v5,4,51,-38.1261362164653,100,100,1.0,ga2
352,sac,Pusher-v5,4,52,-37.6260764995091,100,100,1.0,ga2
353,sac,Pusher-v5,4,53,-36.794533943057175,100,100,1.0,ga2
354,sac,Pusher-v5,4,54,-31.443424627146268,100,100,1.0,ga2
355,sac,Pusher-v5,4,55,-32.669149379194806,100,100,1.0,ga2
356,sac,Pusher-v5,4,56,-41.053440264180544,100,100,1.0,ga2
357,sac,Pusher-v5,4,57,-30.37814620722991,100,100,1.0,ga2
358,sac,Pusher-v5,4,58,-36.05679944181942,100,100,1.0,ga2
359,sac,Pusher-v5,4,59,-36.43544911456655,100,100,1.0,ga2
360,sac,Pusher-v5,4,60,-40.6834593734426,100,100,1.0,ga2
361,sac,Pusher-v5,4,61,-39.58706958397512,100,100,1.0,ga2
