project,algo,run_id,run_name,env_id,seed,exp_name,total_timesteps,episode_index,episodic_return,episode_length,max_episode_steps,duration_rate
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,87,0.34070885306550547,10,1000,0.01
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,88,0.30319531731876925,9,1000,0.009
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,89,0.25023309578179315,8,1000,0.008
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,90,0.3059997153524532,9,1000,0.009
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,91,0.3143002464768774,9,1000,0.009
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,92,0.2421746344165077,8,1000,0.008
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,93,0.1771448704973333,7,1000,0.007
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,94,0.17987978569012136,7,1000,0.007
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,95,0.36240342263208025,10,1000,0.01
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,96,0.317721111969659,9,1000,0.009
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,97,0.25127761011193345,8,1000,0.008
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,98,0.24943437600789084,8,1000,0.008
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,99,0.4184576227591926,11,1000,0.011
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed2_20251203_204131,Hopper-v5__ppo_baseline__2__1764812493,Hopper-v5,2,ppo_baseline,1000000,0,19.546704876169628,49,1000,0.049
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed2_20251203_204131,Hopper-v5__ppo_baseline__2__1764812493,Hopper-v5,2,ppo_baseline,1000000,1,7.060881084519531,60,1000,0.06
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed2_20251203_204131,Hopper-v5__ppo_baseline__2__1764812493,Hopper-v5,2,ppo_baseline,1000000,2,4.098142970468042,64,1000,0.064
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed2_20251203_204131,Hopper-v5__ppo_baseline__2__1764812493,Hopper-v5,2,ppo_baseline,1000000,3,5.0154030700938,70,1000,0.07
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed2_20251203_204131,Hopper-v5__ppo_baseline__2__1764812493,Hopper-v5,2,ppo_baseline,1000000,4,4.418565410915066,66,1000,0.066
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed2_20251203_204131,Hopper-v5__ppo_baseline__2__1764812493,Hopper-v5,2,ppo_baseline,1000000,5,5.109068185619767,72,1000,0.072
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed2_20251203_204131,Hopper-v5__ppo_baseline__2__1764812493,Hopper-v5,2,ppo_baseline,1000000,6,1.9862877383536857,46,1000,0.046
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed2_20251203_204131,Hopper-v5__ppo_baseline__2__1764812493,Hopper-v5,2,ppo_baseline,1000000,7,3.7893768867826263,65,1000,0.065
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed2_20251203_204131,Hopper-v5__ppo_baseline__2__1764812493,Hopper-v5,2,ppo_baseline,1000000,8,3.0572119785521252,66,1000,0.066
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed2_20251203_204131,Hopper-v5__ppo_baseline__2__1764812493,Hopper-v5,2,ppo_baseline,1000000,9,4.528261212392429,68,1000,0.068
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed2_20251203_204131,Hopper-v5__ppo_baseline__2__1764812493,Hopper-v5,2,ppo_baseline,1000000,10,1.2558455435571392,43,1000,0.043
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed2_20251203_204131,Hopper-v5__ppo_baseline__2__1764812493,Hopper-v5,2,ppo_baseline,1000000,11,2.051204401527865,49,1000,0.049
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed2_20251203_204131,Hopper-v5__ppo_baseline__2__1764812493,Hopper-v5,2,ppo_baseline,1000000,12,3.1885665694589727,58,1000,0.058
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed2_20251203_204131,Hopper-v5__ppo_baseline__2__1764812493,Hopper-v5,2,ppo_baseline,1000000,13,1.8902701379579876,45,1000,0.045
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed2_20251203_204131,Hopper-v5__ppo_baseline__2__1764812493,Hopper-v5,2,ppo_baseline,1000000,14,2.4237377534798648,48,1000,0.048
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed2_20251203_204131,Hopper-v5__ppo_baseline__2__1764812493,Hopper-v5,2,ppo_baseline,1000000,15,3.3668072359514656,59,1000,0.059
